,uuid,KEY,Site,HH_Number,DrinkingWaterGroup,DrinkingWater_Private,DrinkingWater_Public,DrinkingWaterDist,DrinkingWater_PublicVendor,DrinkingWaterContainer,DrinkingWaterContainer2,DrinkingWaterContainer2/Metal_Closed,DrinkingWaterContainer2/Metal_Open,DrinkingWaterContainer2/Only_one,DrinkingWaterContainer2/Other_Closed,DrinkingWaterContainer2/Other_Open,DrinkingWaterContainer2/Plastic_Closed,DrinkingWaterContainer2/Plastic_Open,DrinkingWaterContainer2/NA,DrinkingWaterTreatment,DrinkingWaterTreatment2,DrinkingWaterTreatment2/BleachChlorine,DrinkingWaterTreatment2/Boil,DrinkingWaterTreatment2/Filter,DrinkingWaterTreatment2/Other,DrinkingWaterTreatment2/Settle,DrinkingWaterTreatment2/SolarDesinf,DrinkingWaterTreatment2/Strain,DrinkingWaterTreatment2/NA,DrinkingWaterTreatment2Spec,DrinkingWaterAvailability,ObsHandWashPLACE,ObsHandWashSOAP,ObsHandWashWATER,ToiletFacility,ToiletFacilityTYPE,ToiletFacilityTYPE_Dry,ToiletFacilityTYPE_Flush,ToiletFacilitySHARE,HHITEMS/Computer,HHITEMS/Electricity,HHITEMS/Internet,HHITEMS/Microwave,HHITEMS/Oven,HHITEMS/Radio,HHITEMS/Refrigerator,HHITEMS/Smartphone,HHITEMS/Television,HHITEMS/Noitems,HHITEMS/NA,HHROOMS,StreetFood
207,4add689d7a314c899ba5137cc65e8265,uuid:85627363-4917-4876-97c5-cb9e08f4e502,Mathare,219b,Public,,Public_Tap,10.0,,Plastic_Closed,Only_one,0,0,1,0,0,0,0,0,Y,Boil,0,1,0,0,0,0,0,0,,Y,,,,Own_YardPlot,Flush,,Flush_piped,Y,0,1,0,0,0,1,0,0,1,0,0,1,5_Or_More
208,de1472b6c9754103927d0d478c541e68,uuid:bb269610-4caa-4a81-b141-f35d56cc7a42,Mathare,611,Private,Piped_dwel,,,,,,0,0,0,0,0,0,0,0,Y,BleachChlorine,1,0,0,0,0,0,0,0,,Y,,,,Own_YardPlot,Flush,,Flush_piped,N,0,1,0,0,0,1,0,1,1,0,0,1,2_4
209,de1472b6c9754103927d0d478c541e68,uuid:1dc2722e-00e5-410b-bf8f-34f28ed62d0b,Mathare,735,Public,,Public_Tap,5.0,,Plastic_Open,Only_one,0,0,1,0,0,0,0,0,N,,0,0,0,0,0,0,0,0,,Y,Obs_Mobile,,Water_OK,Public,Flush,,Flush_NA,Y,0,0,0,0,0,0,0,0,0,1,0,1,2_4
210,4add689d7a314c899ba5137cc65e8265,uuid:4e40a567-c3ae-4ac5-a6c1-4646cc2bcd4c,Mathare,626,Private,Piped_neigh,,5.0,,Plastic_Closed,Only_one,0,0,1,0,0,0,0,0,N,,0,0,0,0,0,0,0,0,,N,Obs_Mobile,SoapOrDeterg,Water_OK,Public,Flush,,Flush_piped,Y,0,0,0,0,0,0,0,0,0,1,0,1,2_4
211,de1472b6c9754103927d0d478c541e68,uuid:fdc43f03-21d6-480e-ab29-d14f1531d5e1,Mathare,12,Private,Piped_neigh,,2.0,,Plastic_Closed,Only_one,0,0,1,0,0,0,0,0,N,,0,0,0,0,0,0,0,0,,Y,Obs_Mobile,SoapOrDeterg,Water_OK,Own_Dwelling,Flush,,Flush_river,Y,0,1,0,0,0,0,0,0,1,0,0,1,5_Or_More
212,4add689d7a314c899ba5137cc65e8265,uuid:0d6092d8-48ec-4f94-9513-7653f15f6bcb,Mathare,166,Public,,Public_Tap,10.0,,Plastic_Closed,Plastic_Closed,0,0,0,0,0,1,0,0,Y,BleachChlorine,1,0,0,0,0,0,0,0,,Y,Obs_Mobile,SoapOrDeterg,Water_OK,Own_YardPlot,Flush,,Flush_piped,Y,0,1,1,0,0,0,0,1,1,0,0,3,5_Or_More
213,4add689d7a314c899ba5137cc65e8265,uuid:ec0fe9ba-6d6b-44f6-b1cf-5c55102773f5,Mathare,592,Public,,Public_Tap,5.0,,Plastic_Open,Only_one,0,0,1,0,0,0,0,0,N,,0,0,0,0,0,0,0,0,,Y,Obs_Fixed,,Water_OK,Public,Flush,,Flush_piped,Y,0,1,0,0,0,1,0,0,0,0,0,1,5_Or_More
214,de1472b6c9754103927d0d478c541e68,uuid:c358f522-9ef7-4f1b-adc5-88ffd3f3320d,Mathare,540,Public,,Public_Dispenser,10.0,,Plastic_Closed,Plastic_Closed,0,0,0,0,0,1,0,0,N,,0,0,0,0,0,0,0,0,,Y,,,,Public,Flush,,Flush_piped,Y,0,1,1,0,0,1,0,1,1,0,0,1,5_Or_More
215,4add689d7a314c899ba5137cc65e8265,uuid:5a05b0fd-7712-490f-b296-545c9c288659,Mathare,553B,Private,Piped_dwel,,,,,,0,0,0,0,0,0,0,0,N,,0,0,0,0,0,0,0,0,,Y,,,,Public,Flush,,Flush_piped,Y,0,0,0,0,0,1,0,1,1,0,0,1,0_1
216,de1472b6c9754103927d0d478c541e68,uuid:a18474c7-8079-4d0d-b6ac-c119cfbdfa69,Mathare,1103,,,,5.0,,Plastic_Closed,Plastic_Open Plastic_Closed,0,0,0,0,0,1,1,0,N,,0,0,0,0,0,0,0,0,,N,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,1,5_Or_More
